method,fold,test_scanner,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_auprc,best_epoch,total_epochs
macenko,1,Hamamatsu-XR,0.836439031919987,0.27922661870503596,0.24749163879598662,0.9487179487179487,0.3925729442970822,0.5118267211533004,0.25391229229143575,8,18
macenko,2,Hamamatsu-S360,0.7621546578310762,0.43286099865047234,0.2418655097613883,0.6117969821673526,0.346677030703459,0.49527071192495004,0.24694848971676425,20,30
macenko,3,Aperio-CS2,0.7264821394996221,0.5412058508740635,0.2527105921601334,0.43722943722943725,0.3202959830866808,0.5040992183172278,0.2489509562012027,25,35
vahadane,1,Hamamatsu-XR,0.721669327012069,0.3120503597122302,0.2453416149068323,0.8681318681318682,0.38256658595641646,0.4944449174186957,0.2402153374818961,8,18
vahadane,2,Hamamatsu-S360,0.7472381669821848,0.5910931174089069,0.25874125874125875,0.355281207133059,0.2994219653179191,0.517828658055686,0.2515395307395866,23,33
vahadane,3,Aperio-CS2,0.7127188948108348,0.3560470924009989,0.24495412844036699,0.7705627705627706,0.3717368604246432,0.5059156220293661,0.27032907955549557,7,17
reinhard,1,Hamamatsu-XR,0.7921892284489364,0.25944244604316546,0.24643021649009672,0.9798534798534798,0.3938167096061833,0.5177316227673796,0.2520763014005083,2,12
reinhard,2,Hamamatsu-S360,0.6792451986256238,0.6477732793522267,0.26244343891402716,0.23868312757201646,0.25,0.506764499191378,0.25635018810986526,1,11
reinhard,3,Aperio-CS2,0.6908036031299432,0.5654655726007849,0.23296032553407936,0.33044733044733043,0.2732696897374702,0.49819111904419955,0.242092193610437,2,12
